Exchange,ISIN,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,INE686F01025,1,UBL,UBL-EQ,EQ,,,
NSE,INE716A01013,1,WHIRLPOOL,WHIRLPOOL-EQ,EQ,,,
NSE,INE721A01013,1,SHRIRAMFIN,SHRIRAMFIN-EQ,EQ,,,
NSE,INE726G01019,1,ICICIPRULI,ICICIPRULI-EQ,EQ,,,
NSE,INE745G01035,1,MCX,MCX-EQ,EQ,,,
NSE,INE749A01030,1,JINDALSTEL,JINDALSTEL-EQ,EQ,,,
NSE,INE761H01022,1,PAGEIND,PAGEIND-EQ,EQ,,,
NSE,INE765G01017,1,ICICIGI,ICICIGI-EQ,EQ,,,
NSE,INE769A01020,1,AARTIIND,AARTIIND-EQ,EQ,,,
NSE,INE774D01024,1,M&MFIN,M&MFIN-EQ,EQ,,,
NSE,INE775A01035,1,MOTHERSON,MOTHERSON-EQ,EQ,,,
NSE,INE787D01026,1,BALKRISIND,BALKRISIND-EQ,EQ,,,
NSE,INE795G01014,1,HDFCLIFE,HDFCLIFE-EQ,EQ,,,
NSE,INE797F01020,1,JUBLFOOD,JUBLFOOD-EQ,EQ,,,
NSE,INE813H01021,1,TORNTPOWER,TORNTPOWER-EQ,EQ,,,
NSE,INE823G01014,1,JKCEMENT,JKCEMENT-EQ,EQ,,,
NSE,INE836A01035,1,BSOFT,BSOFT-EQ,EQ,,,
NSE,INE844O01030,1,GUJGASLTD,GUJGASLTD-EQ,EQ,,,
NSE,INE849A01020,1,TRENT,TRENT-EQ,EQ,,,
NSE,INE855B01025,1,RAIN,RAIN-EQ,EQ,,,
NSE,INE881D01027,1,OFSS,OFSS-EQ,EQ,,,
NSE,INE883A01011,1,MRF,MRF-EQ,EQ,,,
NSE,INE885A01032,1,ARE&M,ARE&M-EQ,EQ,,,
NSE,INE901L01018,1,APLLTD,APLLTD-EQ,EQ,,,
NSE,INE933S01016,1,INDIAMART,INDIAMART-EQ,EQ,,,
NSE,INE935A01035,1,GLENMARK,GLENMARK-EQ,EQ,,,
NSE,INE935N01020,1,DIXON,DIXON-EQ,EQ,,,
NSE,INE939A01011,1,STAR,STAR-EQ,EQ,,,
NSE,INE947Q01028,1,LAURUSLABS,LAURUSLABS-EQ,EQ,,,
NSE,INE949L01017,1,AUBANK,AUBANK-EQ,EQ,,,
NSE,INE976G01028,1,RBLBANK,RBLBANK-EQ,EQ,,,
NSE,INE498L01015,1,LTF,LTF-EQ,EQ,,,
